date,cluster,PM2.5,PM10,SO2,NO2,CO,O3
2013-03-02,1,18.0,27.0,23.0,36.0,800.0,44.0
2013-03-02,1,34.0,37.0,44.0,43.0,1100.0,40.0
2013-03-02,1,42.0,56.0,46.0,44.0,1100.0,38.0
2013-03-02,1,56.0,68.0,48.0,46.0,1100.0,37.0
2013-03-02,1,56.0,80.0,51.0,52.0,1100.0,31.0
2013-03-02,2,64.0,88.0,53.0,67.0,1300.0,14.0
2013-03-02,2,72.0,96.0,63.0,83.0,1600.0,2.0
2013-03-02,2,88.0,118.0,72.0,91.0,1800.0,2.0
2013-03-02,2,101.0,125.0,82.0,93.0,2000.0,2.0
2013-03-02,2,108.0,127.0,70.0,92.0,2100.0,2.0
2013-03-03,2,101.0,108.0,56.0,92.0,2100.0,2.0
2013-03-03,2,77.0,93.0,62.0,94.0,2299.0,2.0
2013-03-03,2,97.0,109.0,68.0,92.0,2600.0,2.0
2013-03-03,2,107.0,120.0,75.0,89.0,2700.0,2.0
2013-03-03,2,107.0,118.0,76.0,89.0,2799.0,2.0
2013-03-03,2,104.0,109.0,65.0,86.0,2000.0,2.0
2013-03-03,2,87.0,94.0,60.0,86.0,2000.0,2.0
2013-03-03,2,86.0,95.0,69.0,86.0,2000.0,2.0
2013-03-03,2,84.0,101.0,73.0,86.0,2399.0,2.0
2013-03-03,2,88.0,119.0,83.0,91.0,2799.0,2.0
2013-03-03,2,101.0,143.0,79.0,115.0,3000.0,6.0
2013-03-03,2,110.0,152.0,54.0,92.0,2000.0,18.0
2013-03-03,2,92.0,143.0,52.0,86.0,1800.0,35.0
2013-03-03,2,114.0,169.0,43.0,58.0,1300.0,55.0
2013-03-03,0,95.0,146.0,29.0,46.0,1000.0,60.0
2013-03-03,2,77.0,130.0,36.0,57.0,1000.0,50.0
2013-03-03,2,84.0,159.0,65.0,102.0,1600.0,16.0
2013-03-03,2,123.0,225.0,66.0,116.0,1800.0,2.0
2013-03-03,2,150.0,242.0,69.0,120.0,2200.0,2.0
2013-03-03,2,147.0,191.0,23.0,80.0,1100.0,2.0
2013-03-03,1,62.0,68.0,14.0,73.0,800.0,2.0
2013-03-03,1,27.0,41.0,20.0,89.0,1600.0,2.0
2013-03-04,1,33.0,46.0,21.0,85.0,2000.0,2.0
2013-03-04,1,31.0,36.0,31.0,73.0,1200.0,2.0
2013-03-04,1,23.0,31.0,10.0,25.0,500.0,44.0
2013-03-04,1,10.0,27.0,5.0,17.0,400.0,56.0
2013-03-04,1,8.0,16.0,12.0,32.0,500.0,37.0
2013-03-04,1,9.0,22.0,15.0,23.0,400.0,44.0
2013-03-04,1,4.0,24.0,18.0,32.0,600.0,33.0
2013-03-04,1,8.0,22.0,22.0,53.0,900.0,11.0
2013-03-04,1,9.0,28.0,32.0,61.0,1100.0,8.0
2013-03-04,1,12.0,29.0,22.0,37.0,600.0,36.0
2013-03-04,1,11.0,13.0,15.0,25.0,500.0,51.0
2013-03-04,1,12.0,14.0,11.0,19.0,400.0,60.0
2013-03-04,1,15.0,16.0,12.0,19.0,400.0,63.0
2013-03-04,1,13.0,16.0,11.0,18.0,400.0,67.0
2013-03-04,1,8.0,13.0,9.0,20.0,400.0,69.0
2013-03-04,1,10.0,15.0,11.0,25.0,400.0,67.0
2013-03-04,1,12.0,18.0,10.0,28.0,400.0,75.0
2013-03-04,1,23.0,26.0,8.0,28.0,500.0,87.0
2013-03-04,1,29.0,38.0,13.0,43.0,500.0,63.0
2013-03-04,1,32.0,66.0,16.0,65.0,700.0,32.0
2013-03-04,1,40.0,92.0,25.0,78.0,1100.0,14.0
2013-03-04,2,56.0,104.0,38.0,88.0,1399.0,4.0
2013-03-04,2,71.0,111.0,35.0,83.0,1399.0,7.0
2013-03-04,2,76.0,105.0,52.0,71.0,1399.0,87.0
2013-03-05,2,93.0,124.0,82.0,58.0,1300.0,87.0
2013-03-05,2,107.0,138.0,82.0,56.0,1399.0,87.0
2013-03-05,0,114.0,130.0,4.0,59.0,1399.0,87.0
2013-03-05,0,125.0,137.0,5.0,59.0,1800.0,87.0
2013-03-05,2,138.0,149.0,59.0,74.0,2200.0,87.0
2013-03-05,2,132.0,145.0,63.0,79.0,2399.0,87.0
2013-03-05,2,129.0,137.0,67.0,82.0,2799.0,87.0
2013-03-05,2,118.0,136.0,80.0,90.0,3399.0,87.0
2013-03-05,2,133.0,180.0,83.0,108.0,2600.0,87.0
2013-03-05,2,138.0,169.0,73.0,101.0,2000.0,25.0
2013-03-05,2,134.0,157.0,72.0,116.0,2100.0,87.0
2013-03-05,2,142.0,161.0,79.0,140.0,2399.0,87.0
2013-03-06,2,159.0,208.0,82.0,129.0,2600.0,78.0
2013-03-06,2,149.0,187.0,77.0,131.0,2799.0,78.0
2013-03-06,2,186.0,187.0,75.0,131.0,2799.0,78.0
2013-03-06,2,187.0,188.0,79.0,137.0,3000.0,78.0
2013-03-07,2,338.0,338.0,78.0,94.0,2600.0,70.0
2013-03-07,2,190.0,274.0,56.0,59.0,1600.0,94.0
2013-03-07,2,159.0,202.0,70.0,81.0,1700.0,94.0
2013-03-07,2,208.0,226.0,73.0,117.0,1700.0,94.0
2013-03-07,2,197.0,212.0,62.0,136.0,1500.0,2.0
2013-03-07,2,153.0,190.0,66.0,147.0,2200.0,94.0
2013-03-08,2,174.0,166.0,48.0,119.0,2299.0,94.0
2013-03-08,2,156.0,174.0,41.0,72.0,1399.0,94.0
2013-03-08,2,138.0,304.0,47.0,61.0,1300.0,94.0
2013-03-08,2,181.0,253.0,71.0,75.0,1300.0,86.0
2013-03-08,0,115.0,132.0,49.0,56.0,600.0,86.0
2013-03-08,1,56.0,69.0,38.0,46.0,600.0,86.0
2013-03-08,1,43.0,72.0,35.0,49.0,900.0,86.0
2013-03-08,0,55.0,72.0,37.0,54.0,1100.0,86.0
2013-03-08,1,49.0,52.0,33.0,42.0,1100.0,86.0
2013-03-08,1,50.0,60.0,38.0,68.0,1600.0,86.0
2013-03-08,0,45.0,54.0,52.0,55.0,1700.0,86.0
2013-03-09,2,45.0,48.0,54.0,56.0,2000.0,86.0
2013-03-09,2,55.0,72.0,61.0,61.0,2299.0,86.0
2013-03-09,2,61.0,75.0,61.0,60.0,2299.0,86.0
2013-03-09,0,68.0,81.0,5.0,79.0,2299.0,86.0
2013-03-09,2,70.0,80.0,5.0,79.0,2500.0,86.0
2013-03-09,2,73.0,88.0,48.0,75.0,2700.0,86.0
2013-03-09,2,77.0,99.0,74.0,76.0,2700.0,86.0
2013-03-09,2,102.0,109.0,80.0,89.0,2299.0,86.0
2013-03-09,0,20.0,161.0,3.0,11.0,300.0,81.0
2013-03-09,1,18.0,119.0,3.0,13.0,300.0,81.0
2013-03-09,1,17.0,85.0,3.0,11.0,300.0,81.0
2013-03-09,1,13.0,76.0,3.0,16.0,300.0,81.0
2013-03-09,1,15.0,52.0,5.0,18.0,400.0,81.0
2013-03-09,1,12.0,35.0,9.0,19.0,300.0,81.0
2013-03-09,1,16.0,21.0,6.0,18.0,400.0,81.0
2013-03-09,1,3.0,7.0,4.0,16.0,400.0,81.0
2013-03-10,1,11.0,12.0,4.0,22.0,400.0,81.0
2013-03-10,1,3.0,6.0,6.0,26.0,500.0,81.0
2013-03-10,1,3.0,9.0,9.0,40.0,600.0,81.0
2013-03-10,1,3.0,7.0,12.0,38.0,700.0,81.0
2013-03-10,1,16.0,22.0,11.0,60.0,1200.0,81.0
2013-03-10,1,24.0,25.0,22.0,77.0,1200.0,81.0
2013-03-10,1,32.0,36.0,26.0,78.0,1800.0,81.0
2013-03-10,1,28.0,37.0,25.0,75.0,1800.0,81.0
2013-03-10,1,18.0,28.0,33.0,68.0,1300.0,81.0
2013-03-10,1,29.0,32.0,40.0,50.0,1000.0,81.0
2013-03-10,1,30.0,54.0,28.0,37.0,1000.0,81.0
2013-03-10,1,32.0,42.0,24.0,26.0,800.0,81.0
2013-03-10,1,30.0,43.0,26.0,24.0,600.0,81.0
2013-03-10,1,22.0,34.0,22.0,21.0,500.0,81.0
2013-03-10,1,22.0,27.0,16.0,18.0,400.0,79.0
2013-03-10,1,37.0,64.0,18.0,19.0,500.0,85.0
2013-03-10,1,39.0,53.0,22.0,23.0,500.0,85.0
2013-03-10,1,46.0,67.0,25.0,29.0,500.0,85.0
2013-03-10,1,51.0,72.0,26.0,34.0,600.0,85.0
2013-03-10,0,66.0,86.0,30.0,54.0,900.0,85.0
2013-03-10,0,69.0,100.0,31.0,66.0,1000.0,85.0
2013-03-10,0,66.0,87.0,27.0,60.0,900.0,85.0
2013-03-10,0,78.0,103.0,36.0,58.0,1100.0,85.0
2013-03-10,0,87.0,110.0,41.0,61.0,1200.0,85.0
2013-03-11,2,98.0,118.0,55.0,61.0,1200.0,85.0
2013-03-11,2,104.0,124.0,72.0,63.0,1200.0,85.0
2013-03-11,2,110.0,117.0,78.0,67.0,1300.0,85.0
2013-03-11,2,111.0,113.0,70.0,67.0,1300.0,85.0
2013-03-11,2,89.0,93.0,59.0,73.0,1800.0,85.0
2013-03-11,2,98.0,104.0,60.0,77.0,1700.0,85.0
2013-03-11,2,103.0,103.0,78.0,71.0,1500.0,85.0
2013-03-11,2,131.0,251.0,77.0,91.0,1600.0,47.0
2013-03-11,2,82.0,92.0,53.0,78.0,1300.0,47.0
2013-03-12,2,101.0,107.0,60.0,72.0,1399.0,47.0
2013-03-12,2,122.0,129.0,64.0,80.0,1700.0,47.0
2013-03-12,2,105.0,130.0,71.0,77.0,1800.0,47.0
2013-03-12,2,106.0,109.0,64.0,72.0,1600.0,47.0
2013-03-12,2,90.0,102.0,63.0,70.0,1399.0,47.0
2013-03-12,2,103.0,194.0,40.0,66.0,1399.0,47.0
2013-03-12,2,98.0,118.0,18.0,78.0,2100.0,47.0
2013-03-12,2,125.0,119.0,16.0,74.0,2000.0,47.0
2013-03-12,2,120.0,84.0,13.0,72.0,1899.0,47.0
2013-03-12,2,120.0,88.0,13.0,73.0,2100.0,47.0
2013-03-12,2,130.0,91.0,14.0,75.0,2100.0,47.0
2013-03-12,2,137.0,91.0,17.0,74.0,1899.0,47.0
2013-03-12,2,136.0,97.0,19.0,70.0,1800.0,47.0
2013-03-12,2,152.0,95.0,24.0,72.0,1899.0,47.0
2013-03-12,2,133.0,79.0,25.0,69.0,1700.0,44.0
2013-03-12,2,124.0,89.0,23.0,65.0,1700.0,32.0
2013-03-12,2,136.0,97.0,24.0,67.0,1800.0,22.0
2013-03-12,2,135.0,75.0,33.0,71.0,1800.0,22.0
2013-03-12,2,137.0,106.0,33.0,77.0,1700.0,4.0
2013-03-12,2,134.0,90.0,30.0,80.0,1700.0,4.0
2013-03-12,2,126.0,95.0,25.0,77.0,1700.0,4.0
2013-03-12,2,141.0,99.0,19.0,76.0,2100.0,4.0
2013-03-12,2,147.0,102.0,17.0,76.0,2700.0,4.0
2013-03-12,1,111.0,28.0,20.0,67.0,1700.0,4.0
2013-03-13,1,27.0,27.0,32.0,30.0,700.0,26.0
2013-03-13,1,10.0,10.0,18.0,19.0,500.0,48.0
2013-03-13,1,9.0,9.0,18.0,16.0,500.0,54.0
2013-03-13,1,9.0,9.0,6.0,19.0,500.0,54.0
2013-03-13,1,12.0,12.0,4.0,19.0,400.0,54.0
2013-03-13,1,11.0,11.0,10.0,32.0,500.0,54.0
2013-03-13,1,12.0,12.0,18.0,36.0,600.0,54.0
2013-03-13,1,11.0,11.0,25.0,51.0,700.0,54.0
2013-03-13,1,3.0,7.0,23.0,54.0,700.0,54.0
2013-03-13,1,18.0,8.0,22.0,43.0,600.0,54.0
2013-03-13,1,16.0,16.0,13.0,26.0,500.0,54.0
2013-03-13,1,14.0,6.0,9.0,19.0,400.0,59.0
2013-03-13,1,20.0,6.0,7.0,17.0,400.0,66.0
2013-03-13,1,20.0,6.0,7.0,16.0,400.0,70.0
2013-03-13,1,12.0,6.0,7.0,14.0,400.0,74.0
2013-03-13,1,15.0,6.0,7.0,15.0,400.0,75.0
2013-03-13,1,21.0,6.0,7.0,19.0,400.0,75.0
2013-03-13,1,26.0,28.0,9.0,34.0,600.0,75.0
2013-03-13,1,34.0,36.0,13.0,44.0,700.0,75.0
2013-03-13,1,36.0,41.0,15.0,54.0,800.0,75.0
2013-03-13,1,31.0,32.0,14.0,56.0,900.0,75.0
2013-03-13,1,46.0,31.0,16.0,57.0,1100.0,75.0
2013-03-13,1,53.0,34.0,23.0,68.0,1200.0,75.0
2013-03-13,1,55.0,86.0,29.0,61.0,1200.0,75.0
2013-03-14,0,73.0,106.0,23.0,66.0,1500.0,75.0
2013-03-14,1,64.0,67.0,17.0,61.0,1700.0,75.0
2013-03-14,1,68.0,39.0,19.0,58.0,1800.0,75.0
2013-03-14,1,74.0,37.0,20.0,60.0,1500.0,75.0
2013-03-14,1,72.0,39.0,21.0,57.0,1300.0,75.0
2013-03-14,1,75.0,54.0,24.0,60.0,1600.0,75.0
2013-03-14,2,83.0,62.0,26.0,64.0,2000.0,75.0
2013-03-14,1,76.0,53.0,27.0,62.0,1800.0,75.0
2013-03-14,1,60.0,64.0,29.0,59.0,1800.0,75.0
2013-03-14,1,63.0,66.0,34.0,60.0,1700.0,75.0
2013-03-14,2,68.0,88.0,44.0,63.0,1800.0,75.0
2013-03-14,2,77.0,92.0,51.0,68.0,1899.0,75.0
2013-03-14,2,85.0,88.0,59.0,60.0,1500.0,75.0
2013-03-14,2,95.0,100.0,79.0,75.0,1300.0,50.0
2013-03-14,2,95.0,106.0,78.0,94.0,1500.0,50.0
2013-03-14,2,102.0,132.0,66.0,94.0,1700.0,50.0
2013-03-14,2,151.0,153.0,59.0,93.0,2200.0,50.0
2013-03-14,2,136.0,160.0,53.0,90.0,2299.0,50.0
2013-03-15,2,140.0,149.0,51.0,88.0,2100.0,50.0
2013-03-15,2,139.0,145.0,38.0,84.0,2100.0,50.0
2013-03-15,2,142.0,143.0,34.0,82.0,2399.0,50.0
2013-03-15,2,144.0,146.0,54.0,91.0,2700.0,50.0
2013-03-15,2,151.0,169.0,65.0,97.0,2799.0,50.0
2013-03-15,2,161.0,182.0,71.0,96.0,3200.0,50.0
2013-03-15,2,156.0,158.0,78.0,91.0,2600.0,50.0
2013-03-15,2,140.0,149.0,63.0,86.0,2399.0,50.0
2013-03-15,2,135.0,143.0,78.0,80.0,2299.0,50.0
2013-03-15,2,262.0,270.0,78.0,67.0,1700.0,49.0
2013-03-15,2,275.0,286.0,72.0,76.0,1899.0,49.0
2013-03-15,2,283.0,287.0,70.0,92.0,2000.0,49.0
2013-03-15,2,290.0,315.0,63.0,110.0,2200.0,49.0
2013-03-15,2,263.0,286.0,65.0,112.0,2200.0,49.0
2013-03-15,2,269.0,273.0,59.0,105.0,3000.0,49.0
2013-03-15,2,230.0,251.0,54.0,98.0,2899.0,49.0
2013-03-16,2,293.0,318.0,76.0,128.0,3500.0,49.0
2013-03-16,2,328.0,338.0,77.0,140.0,3500.0,49.0
2013-03-16,2,284.0,306.0,65.0,110.0,2799.0,49.0
2013-03-16,2,272.0,302.0,64.0,105.0,2500.0,49.0
2013-03-16,2,263.0,287.0,64.0,98.0,2299.0,49.0
2013-03-16,2,260.0,276.0,55.0,88.0,2200.0,49.0
2013-03-16,2,257.0,266.0,54.0,82.0,2100.0,49.0
2013-03-16,2,256.0,266.0,52.0,83.0,2200.0,49.0
2013-03-16,2,256.0,276.0,63.0,85.0,2500.0,49.0
2013-03-16,2,165.0,166.0,75.0,44.0,2000.0,101.0
2013-03-16,2,164.0,188.0,79.0,56.0,2399.0,101.0
2013-03-16,2,174.0,181.0,80.0,64.0,2899.0,101.0
2013-03-16,2,165.0,197.0,82.0,67.0,3000.0,101.0
2013-03-16,2,190.0,214.0,82.0,80.0,3100.0,101.0
2013-03-16,2,186.0,213.0,62.0,80.0,2500.0,101.0
2013-03-16,2,212.0,231.0,56.0,71.0,2299.0,101.0
2013-03-16,2,231.0,196.0,56.0,71.0,2299.0,101.0
2013-03-16,2,198.0,166.0,54.0,79.0,1800.0,101.0
2013-03-16,2,152.0,164.0,51.0,82.0,1600.0,101.0
2013-03-17,2,154.0,179.0,52.0,77.0,1800.0,101.0
2013-03-17,2,165.0,183.0,57.0,92.0,2200.0,101.0
2013-03-17,2,176.0,195.0,58.0,88.0,3200.0,101.0
2013-03-17,2,218.0,195.0,4.0,70.0,3200.0,101.0
2013-03-17,2,206.0,178.0,4.0,70.0,2000.0,101.0
2013-03-17,2,196.0,160.0,44.0,63.0,1899.0,101.0
2013-03-17,2,161.0,167.0,56.0,66.0,2100.0,101.0
2013-03-17,2,165.0,168.0,50.0,74.0,2200.0,101.0
2013-03-17,2,175.0,199.0,54.0,75.0,2500.0,101.0
2013-03-17,2,188.0,225.0,78.0,84.0,2700.0,101.0
2013-03-18,0,83.0,116.0,27.0,39.0,700.0,107.0
2013-03-18,0,33.0,132.0,17.0,23.0,400.0,107.0
2013-03-18,1,10.0,71.0,8.0,8.0,300.0,107.0
2013-03-18,1,3.0,6.0,8.0,19.0,400.0,107.0
2013-03-18,1,3.0,6.0,3.0,17.0,400.0,107.0
2013-03-18,1,8.0,6.0,3.0,13.0,400.0,107.0
2013-03-18,1,3.0,6.0,3.0,11.0,400.0,107.0
2013-03-18,1,6.0,6.0,3.0,10.0,400.0,107.0
2013-03-18,1,9.0,6.0,5.0,9.0,400.0,107.0
2013-03-18,1,7.0,6.0,6.0,11.0,300.0,107.0
2013-03-18,1,15.0,6.0,5.0,12.0,300.0,107.0
2013-03-18,1,11.0,6.0,5.0,15.0,300.0,80.0
2013-03-18,1,3.0,6.0,6.0,28.0,400.0,70.0
2013-03-18,1,35.0,126.0,12.0,33.0,600.0,63.0
2013-03-18,1,70.0,151.0,29.0,46.0,1100.0,32.0
2013-03-18,1,51.0,81.0,19.0,34.0,800.0,39.0
2013-03-18,1,51.0,81.0,19.0,34.0,800.0,40.698
2013-03-18,1,33.0,44.0,13.0,31.0,900.0,35.0
2013-03-18,1,33.0,44.0,13.0,31.0,900.0,32.0
2013-03-19,1,34.0,36.0,13.0,33.0,1000.0,28.0
2013-03-19,1,18.0,35.0,15.0,35.0,800.0,34.0
2013-03-19,1,16.0,27.0,17.0,29.0,800.0,22.0
2013-03-19,1,30.0,34.0,14.0,38.0,800.0,20.0
2013-03-19,1,31.0,32.0,13.0,39.0,700.0,21.0
2013-03-19,1,22.0,22.0,10.0,37.0,600.0,26.0
2013-03-19,1,7.0,17.0,10.0,33.0,600.0,23.0
2013-03-19,1,8.0,23.0,9.0,35.0,600.0,19.0
2013-03-19,1,28.0,46.0,14.0,43.0,700.0,17.0
2013-03-19,1,40.0,64.0,18.0,47.0,800.0,12.0
2013-03-19,1,45.0,63.0,19.0,42.0,800.0,18.0
2013-03-19,1,59.0,67.0,14.0,41.0,800.0,19.0
2013-03-19,1,58.0,58.0,13.0,37.0,900.0,19.0
2013-03-19,1,42.0,59.0,14.0,36.0,900.0,23.0
2013-03-19,1,48.0,68.0,12.0,38.0,900.0,23.0
2013-03-19,1,51.0,65.0,13.0,34.0,800.0,27.0
2013-03-19,1,50.0,66.0,12.0,38.0,800.0,27.0
2013-03-19,1,49.0,60.0,8.0,40.0,800.0,22.0
2013-03-19,1,37.0,41.0,3.0,51.0,1100.0,8.0
2013-03-19,1,46.0,64.0,3.0,45.0,1600.0,12.0
2013-03-19,1,47.0,64.0,4.0,45.0,1600.0,16.065
2013-03-19,1,61.0,82.0,4.0,48.0,1300.0,12.0
2013-03-19,1,62.0,82.0,4.0,48.0,900.0,11.0
2013-03-20,1,47.0,50.0,3.0,38.0,900.0,10.0
2013-03-20,1,40.0,46.0,3.0,37.0,900.0,11.0
2013-03-20,1,35.0,42.0,4.0,28.0,1100.0,19.0
2013-03-20,1,29.0,38.0,4.0,29.0,1200.0,17.0
2013-03-20,1,30.0,38.0,4.0,29.0,1200.0,15.0
2013-03-20,1,40.0,40.0,4.0,34.0,1200.0,12.0
2013-03-20,1,40.0,31.0,4.0,34.0,1200.0,16.4934
2013-03-20,1,26.0,26.0,4.0,45.0,1300.0,2.0
2013-03-20,1,53.0,60.0,6.0,50.0,1700.0,2.0
2013-03-20,1,52.0,65.0,14.0,43.0,1600.0,8.0
2013-03-20,1,83.0,84.0,27.0,38.0,1700.0,15.0
2013-03-20,1,57.0,66.0,29.0,35.0,1399.0,24.0
2013-03-20,1,74.0,67.0,29.0,29.0,1200.0,33.0
2013-03-20,1,47.0,27.0,31.0,21.0,800.0,52.0
2013-03-20,1,27.0,28.0,22.0,20.0,700.0,60.0
2013-03-20,1,52.0,31.0,18.0,20.0,700.0,64.0
2013-03-20,1,35.0,38.0,20.0,21.0,700.0,64.0
2013-03-20,1,37.0,45.0,21.0,26.0,700.0,62.0
2013-03-20,1,70.0,71.0,16.0,34.0,800.0,45.0
2013-03-20,1,60.0,75.0,12.0,41.0,900.0,34.0
2013-03-20,1,71.0,86.0,11.0,49.0,1100.0,24.0
2013-03-20,1,73.0,80.0,12.0,55.0,1100.0,18.0
2013-03-20,1,74.0,87.0,14.0,53.0,1000.0,19.0
2013-03-20,1,86.0,100.0,16.0,49.0,1000.0,19.0
2013-03-21,1,93.0,102.0,21.0,42.0,1000.0,20.0
2013-03-21,1,92.0,100.0,22.0,40.0,1000.0,18.0
2013-03-21,1,106.0,100.0,23.0,39.0,900.0,15.0
2013-03-21,1,97.0,84.0,3.0,42.0,900.0,15.0
2013-03-21,1,88.0,76.0,4.0,42.0,900.0,6.0
2013-03-21,1,68.0,78.0,11.0,48.0,1000.0,5.0
2013-03-21,1,69.0,77.0,12.0,51.0,1000.0,2.0
2013-03-21,1,73.0,91.0,13.0,60.0,1200.0,2.0
2013-03-21,1,82.0,101.0,20.0,59.0,1300.0,2.0
2013-03-21,2,106.0,116.0,31.0,59.0,1399.0,2.0
2013-03-21,2,124.0,132.0,41.0,58.0,1399.0,6.0
2013-03-21,2,139.0,153.0,45.0,58.0,1300.0,14.0
2013-03-21,2,146.0,154.0,49.0,63.0,1399.0,20.0
2013-03-21,2,161.0,178.0,41.0,82.0,1700.0,13.0
2013-03-21,2,146.0,177.0,51.0,79.0,1600.0,26.0
2013-03-21,2,175.0,186.0,61.0,69.0,1399.0,44.0
2013-03-21,2,184.0,184.0,56.0,67.0,1399.0,50.0
2013-03-21,2,175.0,179.0,55.0,68.0,1399.0,46.0
2013-03-21,2,192.0,207.0,39.0,104.0,1700.0,11.0
2013-03-21,2,197.0,219.0,30.0,118.0,1899.0,2.0
2013-03-21,2,200.0,218.0,27.0,109.0,1800.0,2.0
2013-03-21,2,199.0,203.0,26.0,101.0,1800.0,4.0
2013-03-21,2,175.0,189.0,24.0,88.0,1700.0,10.0
2013-03-21,2,166.0,185.0,26.0,86.0,1700.0,9.0
2013-03-22,2,167.0,186.0,28.0,80.0,1700.0,10.0
2013-03-22,2,172.0,148.0,27.0,71.0,1500.0,13.0
2013-03-22,2,127.0,150.0,31.0,48.0,1100.0,28.0
2013-03-22,2,99.0,151.0,27.0,44.0,1000.0,30.0
2013-03-22,2,143.0,150.0,33.0,73.0,800.0,34.0
2013-03-22,1,22.0,148.0,14.0,32.0,600.0,44.0
2013-03-22,1,15.0,145.0,6.0,25.0,500.0,53.0
2013-03-22,1,21.0,32.0,9.0,48.0,600.0,27.0
2013-03-22,1,18.0,135.0,11.0,46.0,500.0,33.0
2013-03-22,2,129.0,131.0,32.0,68.0,500.0,51.0
2013-03-22,2,124.0,128.0,31.0,67.0,600.0,53.0
2013-03-22,2,121.0,127.0,31.0,66.0,1200.0,42.0
2013-03-22,1,61.0,95.0,38.0,32.0,1000.0,53.0
2013-03-22,1,67.0,118.0,30.0,34.0,1100.0,58.0
2013-03-22,0,82.0,150.0,29.0,34.0,1200.0,70.0
2013-03-22,0,66.0,127.0,25.0,26.0,1000.0,76.0
2013-03-22,0,69.0,129.0,24.0,28.0,900.0,77.0
2013-03-22,0,75.0,122.0,24.0,30.0,900.0,78.0
2013-03-22,0,68.0,114.0,23.0,33.0,900.0,77.0
2013-03-22,1,61.0,104.0,21.0,45.0,900.0,66.0
2013-03-22,1,64.0,102.0,19.0,58.0,1000.0,44.0
2013-03-22,1,63.0,101.0,19.0,54.0,900.0,35.0
2013-03-22,1,66.0,95.0,19.0,60.0,1100.0,16.0
2013-03-22,1,63.0,85.0,15.0,57.0,1600.0,11.0
2013-03-23,1,68.0,82.0,17.0,63.0,1800.0,2.0
2013-03-23,1,53.0,75.0,17.0,55.0,1800.0,6.0
2013-03-23,1,66.0,67.0,18.0,50.0,1600.0,10.0
2013-03-23,1,61.0,62.0,16.0,66.0,1500.0,2.0
2013-03-23,1,57.0,64.0,15.0,68.0,1600.0,2.0
2013-03-23,1,57.0,65.0,16.0,69.0,1399.0,2.0
2013-03-23,1,63.0,80.0,18.0,62.0,1200.0,2.0
2013-03-23,1,49.0,68.0,26.0,58.0,1000.0,2.0
2013-03-23,1,66.0,72.0,27.0,56.0,1200.0,2.0
2013-03-23,1,60.0,62.0,40.0,54.0,1399.0,10.0
2013-03-23,2,68.0,86.0,48.0,55.0,1600.0,16.0
2013-03-23,2,79.0,109.0,64.0,52.0,1800.0,24.0
2013-03-23,2,86.0,118.0,63.0,56.0,1899.0,24.0
